design,tool,n_nets,mape_mean,mape_median,mape_p95,r2
aes_cipher_top,innovus,12172,6.508,5.064,17.418,0.99773
aes_cipher_top,openrcx,12172,8.176,6.034,23.455,0.99772
gcd,innovus,294,8.485,7.373,20.568,0.99722
gcd,openrcx,294,9.307,8.046,22.854,0.99712
ibex_core,innovus,11920,6.512,4.913,17.94,0.99805
ibex_core,openrcx,11920,8.612,6.556,24.493,0.9984
mc_top,innovus,3857,7.048,5.665,18.241,0.99773
mc_top,openrcx,3857,9.189,7.593,23.797,0.99861
spi_top,innovus,1678,6.354,4.546,17.965,0.99651
spi_top,openrcx,1678,8.954,6.495,25.509,0.99819
usbf_top,innovus,7688,7.583,5.891,19.918,0.99791
usbf_top,openrcx,7688,9.753,7.929,25.53,0.99913
vga_enh_top,innovus,34297,7.619,6.684,17.802,0.99901
vga_enh_top,openrcx,34297,7.699,6.496,18.9,0.9993
wb_conmax_top,innovus,17652,7.105,5.589,18.921,0.99954
wb_conmax_top,openrcx,17652,9.815,7.254,27.315,0.99967
tv80s,innovus,3369,6.776,4.976,18.677,0.99696
tv80s,openrcx,3369,8.881,6.813,25.11,0.9985
ldpc_decoder_802_3an,innovus,50701,5.57,4.206,15.828,0.99919
ldpc_decoder_802_3an,openrcx,50701,7.873,6.616,21.005,0.99948
